  Time                  (V(MagIn))@1          (V(MagIn))@2         
  1.003449991745e-007  2.298287872349e-004  2.297840887088e-004  
  1.010350160701e-007  1.774449168358e-004  1.774015639937e-004  
  1.024150498611e-007  7.313500624683e-005  7.310934669277e-005  
  1.051751174433e-007  -5.987353598289e-005  -5.985800828652e-005  
  1.086251087887e-007  -5.633239236350e-005  -5.632766530953e-005  
  1.120751001341e-007  2.679355719615e-005  2.679281370990e-005  
  1.155250914795e-007  8.373457673885e-005  8.374278800842e-005  
  1.189750828249e-007  6.494365511135e-005  6.493466711558e-005  
  1.200000000400e-007  4.384685200857e-005  4.383569843497e-005  
  1.203449991745e-007  3.645365739019e-005  3.644349103553e-005  
  1.210350160701e-007  2.435986863259e-005  2.435269040864e-005  
  1.224150498611e-007  7.163158407450e-006  7.162844745290e-006  
  1.251751174433e-007  1.102051095029e-005  1.102726306513e-005  
  1.286251087887e-007  4.725420359449e-005  4.725483809965e-005  
  1.320751001341e-007  6.508611518551e-005  6.508619292822e-005  
  1.355250914795e-007  4.800608193012e-005  4.800569216566e-005  
  1.389750828249e-007  3.006346128668e-005  3.006089847460e-005  
  1.400000000400e-007  2.793595025344e-005  2.793428728966e-005  
  1.401024917595e-007  2.784498302100e-005  2.784347043539e-005  
  1.403074758582e-007  2.786489913094e-005  2.786378211184e-005  
  1.407174440555e-007  2.831860422317e-005  2.831846496648e-005  
  1.415373804502e-007  3.155887218391e-005  3.156302074133e-005  
  1.431772532396e-007  3.025304486008e-005  3.028220698713e-005  
  1.464569988184e-007  -1.054938036978e-004  -1.054938272980e-004  
  1.499069901638e-007  -3.205365219302e-004  -3.206867577035e-004  
  1.533569815092e-007  -1.614582621081e-004  -1.614879893695e-004  
  1.568069728546e-007  2.196463760043e-004  2.198064695784e-004  
  1.600000000400e-007  1.663702961067e-004  1.663212055564e-004  
  1.603449991745e-007  1.245848801784e-004  1.245027227490e-004  
  1.610350160701e-007  5.348887299449e-005  5.338928384135e-005  
  1.624150498611e-007  -4.045514298995e-005  -4.050191082883e-005  
  1.651751174433e-007  9.338436436927e-007  1.081370127204e-006  
  1.686251087887e-007  7.579066730173e-006  7.525384772294e-006  
  1.720751001341e-007  -8.563081796307e-005  -8.577505657153e-005  
  1.755250914795e-007  -9.245561541639e-005  -9.250160259856e-005  
  1.789750828249e-007  -3.500381620718e-005  -3.498015282875e-005  
  1.800000000400e-007  -4.922708161338e-005  -4.919565157806e-005  
  1.803449991745e-007  -5.694954348423e-005  -5.691025656080e-005  
  1.810350160701e-007  -6.534061659249e-005  -6.526882991555e-005  
  1.824150498611e-007  -5.710062065684e-005  -5.696627938012e-005  
  1.851751174433e-007  5.987856129718e-005  5.990693404667e-005  
  1.886251087887e-007  8.527041355987e-005  8.501439907344e-005  
  1.920751001341e-007  -9.812876831082e-005  -9.815715172010e-005  
  1.955250914795e-007  -1.122408729460e-004  -1.120346915779e-004  
  1.989750828249e-007  -3.044182493228e-005  -3.041022513216e-005  
  2.024250741703e-007  2.054364343558e-006  1.941402036542e-006  
  2.058750655157e-007  -1.655432592311e-005  -1.657665465506e-005  
  2.093250568611e-007  -2.483943780165e-005  -2.478853544013e-005  
  2.127750482065e-007  -3.064567325642e-005  -3.145463627053e-005  
  2.162250395519e-007  -5.031939121045e-005  -5.219982992652e-005  
  2.196750308973e-007  -5.771224490639e-005  -5.873390342764e-005  
  2.231250222427e-007  -4.008168812640e-005  -3.961577036269e-005  
  2.265750135881e-007  -2.097560471117e-005  -2.017773253992e-005  
  2.300250049335e-007  -3.771344736773e-006  -3.681254632208e-006  
  2.334749962789e-007  -2.521656971820e-006  -2.842926168673e-006  
  2.369249876244e-007  -3.420967783187e-005  -3.410078862566e-005  
  2.403749789698e-007  -2.704420082396e-006  -2.625612916328e-006  
  2.438249703152e-007  4.047135325787e-004  4.045107887137e-004  
  2.472749616606e-007  2.086948706347e-003  2.086747021380e-003  
  2.507249530060e-007  5.476164853501e-003  5.476067363640e-003  
  2.520751001541e-007  7.220016271842e-003  7.219941602689e-003  
